country_code,region_name,iata,icao,airport,latitude,longitude
CF,Haut-Mbomou,MKI,FEGE,M'Boki Airport,5.333010197,25.93190002
CF,Nana-Mambere,BOP,FEFO,Bouar Airport,5.958000183,15.63700008
CF,Ouham,BCF,FEGU,Bouca Airport,6.517000198,18.2670002
CF,Ouham,BTG,FEGF,Batangafo Airport,7.314109802,18.30879974
CF,Mambere-Kadei,CRF,FEFC,Carnot Airport,4.936999798,15.89400005
CF,Bamingui-Bangoran,NDL,FEFN,N'Dele Airport,8.427206039,20.63515663
CF,Haute-Kotto,KWD,,Kavadja Airport,-1.95,124.9666667
CF,Ouham-Pende,BOZ,FEGZ,Bozoum Airport,6.344170094,16.32189941
CF,Haute-Kotto,BIV,FEFR,Bria Airport,6.527780056,21.98940086
CF,Ouham,BSN,FEFS,Bossangoa Airport,6.492000103,17.42900085
CF,Vakaga,IRO,FEFI,Birao Airport,10.23639965,22.71689987
CF,Bamingui-Bangoran,KOL,,Koumala Airport,8.4965,21.2565
CF,Mbomou,BGU,FEFG,Bangassou Airport,4.784999847,22.78100014
CF,Vakaga,ODJ,FEGO,Ouanda Djalle Airport,8.899999619,22.78300095
CF,Ouaka,BBY,FEFM,Bambari Airport,5.846940041,20.64749908
CF,Bamingui-Bangoran,GDA,,Gounda Airport,9.316703,21.185
CG,Cuvette,MKJ,FCOM,Makoua Airport,-0.017000001,15.58300018
CG,Sangha,SOE,FCOS,Souanke Airport,2.066999912,14.13300037
CG,Plateaux,DJM,FCBD,Djambala Airport,-2.532999992,14.75
CG,Plateaux,LCO,FCBL,Lague Airport,-2.450000048,14.53299999
CG,Niari,DIS,FCPL,Dolisie Airport,-4.20635,12.6599
CG,Plateaux,LKC,,Lekana Airport,-2.313,14.606
CG,Brazzaville,BZV,FCBB,Maya-Maya Airport,-4.251699924,15.25300026
CG,Bouenza,MUY,FCBM,Mouyondzi Airport,-4.014873981,13.96611214
CG,Cuvette-Ouest,EWO,FCOE,Ewo Airport,-0.883000016,14.80000019
CG,Pointe-Noire,PNR,FCPP,Pointe Noire Airport,-4.816030025,11.88659954
CG,Niari,MSX,FCMM,Mossendjo Airport,-2.950000048,12.69999981
CG,Brazzaville,ANJ,FCBZ,Zanaga Airport,-2.849999905,13.81700039
CG,Lekoumou,SIB,FCBS,Sibiti Airport,-3.683000088,13.35000038
CG,Plateaux,GMM,FCOG,Gamboma Airport,-1.829403,15.885237
CG,Likouala,ION,FCOI,Impfondo Airport,1.616999984,18.06699944
CG,Sangha,EPN,,Epena Airport,1.3666667,17.4833333
CG,Bouenza,NKY,FCBY,Yokangassi Airport,-4.223077,13.286347
CG,Sangha,OUE,FCOU,Ouesso Airport,1.615990043,16.03790092
CG,Niari,KMK,FCPA,Makabana Airport,-3.48300004,12.61699963
CG,Pool,KNJ,FCBK,Kindamba Airport,-3.950000048,14.5170002
CG,Cuvette,BOE,FCOB,Boundji Airport,-1.032999992,15.38300037
CG,Cuvette,OLL,,Oyo Ollombo Airport,-1.226666,15.91
CG,Cuvette,OKG,,Okoyo Airport,-1.448330045,15.07330036
CG,Likouala,BTB,FCOT,Betou Airport,3.049999952,18.5
CG,Cuvette,FTX,FCOO,Owando Airport,-0.531350017,15.95009995
CG,Cuvette-Ouest,KEE,FCOK,Kelle Airport,-0.082999997,14.53299999
CH,Luzern,EML,LSME,Emmen Air Base,47.092444,8.305184
CH,Graubunden,SMV,LSZS,Samedan Airport (Engadin Airport),46.53409958,9.884110451
CH,Ticino,LUG,LSZA,Lugano Airport,46.00429916,8.910579681
CH,Sankt Gallen,ACH,LSZR,St. Gallen-Altenrhein Airport,47.48500061,9.560770035
CH,Basel-Stadt,BSL,LFSB,EuroAirport Basel-Mulhouse-Freiburg,47.59,7.529167
CH,Valais,SIR,LSGS,Sion Airport,46.21960068,7.326759815
CH,Zurich,ZRH,LSZH,Zurich Airport,47.464699,8.54917
CH,Geneve,GVA,LSGG,Geneva Airport,46.23809814,6.108950138
CH,Bern,BRN,LSZB,Bern Airport,46.91410065,7.497149944
CH,Nidwalden,BXO,LSZC,Buochs Airport,46.974444,8.396944
CI,Abidjan,OFI,DIOF,Ouango Fitini Airport,9.600000381,-4.050000191
CI,Abidjan,ABJ,DIAP,Port Bouet Airport (Felix Houphouet Boigny Int'l),5.261390209,-3.926290035
CI,Savanes,BXI,DIBI,Boundiali Airport,9.532999992,-6.467000008
CI,Sassandra-Marahoue,DJO,DIDL,Daloa Airport,6.792809963,-6.473189831
CI,Goh-Djiboua,DIV,DIDV,Divo Airport,6.904614,-5.362358
CI,Bas-Sassandra,ZSS,DISS,Sassandra Airport,4.928329945,-6.132780075
CI,Savanes,FEK,DIFK,Ferkessedougou Airport,9.6,-5.1833333
CI,Bas-Sassandra,TXU,DITB,Tabou Airport,4.437809467,-7.362728119
CI,Montagnes,MJC,DIMN,Man Airport,7.272069931,-7.587359905
CI,Vallee du Bandama,KTC,,Katiola Airport,8.1329,-5.0657
CI,Lacs,DIM,DIDK,Dimbokro Airport,6.651669979,-4.64056015
CI,Bas-Sassandra,SPY,DISP,San Pedro Airport,4.746719837,-6.660820007
CI,Vallee du Bandama,BYK,DIBK,Bouake Airport,7.738800049,-5.07366991
CI,Woroba,SEO,DISG,Seguela Airport,7.968329906,-6.710830212
CI,Comoe,OGO,DIAU,Abengourou Airport,6.715559959,-3.470279932
CI,Goh-Djiboua,GGN,DIGA,Gagnoa Airport,6.132999897,-5.949999809
CI,Denguele,KEO,DIOD,Odienne Airport,9.5,-7.566999912
CI,Comoe,ABO,DIAO,Aboisso Airport,5.461944,-3.234722
CI,Zanzan,BDK,DIBU,Soko Airport,8.017219543,-2.761940002
CI,Zanzan,BQO,DIBN,Tehini Airport,9.277500153,-3.025279999
CI,Bas-Sassandra,BBV,DIGN,Nero-Mer Airport,4.643413067,-6.923961639
CI,Abidjan,ASK,DIYO,Yamoussoukro Airport,6.903170109,-5.365580082
CI,Montagnes,GGO,DIGL,Guiglo Airport,6.534711,-7.526847
CI,Woroba,TOZ,DITM,Mahana Airport,8.2934,-7.674
CI,Savanes,HGO,DIKO,Korhogo Airport,9.387180328,-5.556660175
CK,Cook Islands,PZK,NCPK,Pukapuka Island Airfield,-10.9145,-165.8393
CK,Cook Islands,AIU,NCAT,Enua Airport,-19.96780014,-158.1190033
CK,Cook Islands,AIT,NCAI,Aitutaki Airport,-18.83090019,-159.7640076
CK,Cook Islands,MUK,NCMK,Mauke Airport,-20.13610077,-157.3450012
CK,Cook Islands,MHX,NCMH,Manihiki Island Airport,-10.3767004,-161.0019989
CK,Cook Islands,PYE,NCPY,Tongareva Airport,-9.014369965,-158.0324097
CK,Cook Islands,MGS,NCMG,Mangaia Airport,-21.89598656,-157.906662
CK,Cook Islands,MOI,NCMR,Mitiaro Airport (Nukuroa Airport),-19.84250069,-157.7030029
CK,Cook Islands,RAR,NCRG,Rarotonga International Airport,-21.20269966,-159.8059998
CL,Magallanes,WPU,SCGZ,Guardiamarina Zanartu Airport,-54.93109894,-67.626297
CL,Antofagasta,CJC,SCCF,El Loa Airport,-22.49819946,-68.9036026
CL,Los Lagos,WCA,SCST,Gamboa Airport,-42.49029922,-73.77279663
CL,Los Lagos,WCH,SCTN,Chaiten Airfield,-42.93280029,-72.69909668
CL,Los Lagos,PUX,SCPV,El Mirador Airport,-41.34939957,-72.94670105
CL,La Araucania,PZS,SCTC,Maquehue Airport,-38.76679993,-72.63710022
CL,Valparaiso,VAP,SCRD,Rodelillo Airfield,-33.06809998,-71.55750275
CL,La Araucania,ZPC,SCPC,Pucon Airport,-39.2928009,-71.91590118
CL,Aisen del General Carlos Ibanez del Campo,BBA,SCBA,Balmaceda Airport,-45.91609955,-71.6894989
CL,Atacama,CPO,SCAT,Desierto de Atacama Airport,-27.26119995,-70.77919769
CL,Los Lagos,ZOS,SCJO,Canal Bajo Carlos Hott Siebert Airport,-40.61119843,-73.06099701
CL,Aisen del General Carlos Ibanez del Campo,GXQ,SCCY,Teniente Vidal Airfield,-45.59420013,-72.10610199
CL,Coquimbo,COW,SCQB,Coquimbo Airport,-30.198889,-71.246944
CL,Atacama,VLR,SCLL,Vallenar Airport,-28.59639931,-70.7559967
CL,La Araucania,ZIC,SCTO,Victoria Airport,-38.24560165,-72.34860229
CL,Valparaiso,LOB,SCAN,San Rafael Airport,-32.81420135,-70.646698
CL,Coquimbo,LSC,SCSE,La Florida Airport,-29.916201,-71.199501
CL,Los Lagos,MHC,SCPQ,Mocopulli Airport,-42.340388,-73.715693
CL,Antofagasta,TTC,SCTT,Las Breas Airport,-25.56430054,-70.37590027
CL,Biobio,LSQ,SCGE,Maria Dolores Airport,-37.40169907,-72.42539978
CL,Aisen del General Carlos Ibanez del Campo,LGR,SCHR,Cochrane Airfield,-47.24380112,-72.58840179
CL,Biobio,YAI,SCCH,General Bernardo O'Higgins Airport,-36.58250046,-72.03140259
CL,Los Lagos,FRT,SCFI,Frutillar Airport,-41.11700058,-73.05000305
CL,Los Lagos,FFU,SCFT,Futaleufu Airfield,-43.18920135,-71.85109711
CL,Valparaiso,KNA,SCVM,Vina del Mar Airport,-32.9496,-71.4786
CL,Aisen del General Carlos Ibanez del Campo,CCH,SCCC,Chile Chico Airfield,-46.58330154,-71.68740082
CL,Magallanes,PNT,SCNT,Teniente Julio Gallardo Airport,-51.67150116,-72.52839661
CL,Atacama,CNR,SCRA,Chanaral Airport,-26.33250046,-70.6072998
CL,Los Lagos,WAP,SCAP,Alto Palena Airfield,-43.61190033,-71.80609894
CL,La Araucania,ZCO,SCQP,La Araucania Airport,-38.9259,-72.6515
CL,Los Rios,ZAL,SCVD,Pichoy Airport,-39.65000153,-73.08609772
CL,Tarapaca,IQQ,SCDA,Diego Aracena International Airport,-20.53520012,-70.1812973
CL,Maule,TLX,SCTL,Panguilemo Airport,-35.37779999,-71.60169983
CL,Region Metropolitana de Santiago,SCL,SCEL,Comodoro Arturo Merino Benitez International Airport,-33.39300156,-70.78579712
CL,Los Lagos,ZUD,SCAC,Pupelde Airfield,-41.904251,-73.796571
CL,Antofagasta,ANF,SCFA,Cerro Moreno International Airport,-23.444501,-70.445099
CL,Magallanes,SMB,SCSB,Franco Bianco Airport,-52.73669815,-69.33360291
CL,Los Lagos,PMC,SCTE,El Tepual Airport,-41.43889999,-73.09400177
CL,Antofagasta,TOQ,SCBE,Barriles Airport,-22.14109993,-70.06289673
CL,Arica y Parinacota,ARI,SCAR,Chacalluta International Airport,-18.348499,-70.338699
CL,Valparaiso,IPC,SCIP,Mataveri International Airport (Isla de Pascua Airport),-27.16480064,-109.4219971
CL,Aisen del General Carlos Ibanez del Campo,WPA,SCAS,Cabo Juan Roman Airfield,-45.39920044,-72.67030334
CL,Coquimbo,OVL,SCOV,El Tuqui Airport,-30.55920029,-71.17559814
CL,Atacama,ESR,SCES,Ricardo Garcia Posada Airport,-26.31110001,-69.76519775
CL,Magallanes,PUQ,SCCI,Presidente Carlos Ibanez del Campo International Airport,-53.002602,-70.854599
CL,Biobio,CCP,SCIE,Carriel Sur International Airport,-36.772701,-73.063103
CL,Magallanes,WPR,SCFM,Capitan Fuentes Martinez Airport,-53.25370026,-70.31919861
CM,Ouest,DSC,FKKS,Dschang Airport,5.449999809,10.06700039
